,precision,recall,f1-score,support
baggage_claim,1.0,0.8888888888888888,0.9411764705882353,9.0
check_in,0.8181818181818182,1.0,0.9,9.0
flight_delay,0.9,1.0,0.9473684210526315,9.0
gate,0.75,1.0,0.8571428571428571,9.0
information_desk,0.6666666666666666,0.8888888888888888,0.7619047619047619,9.0
lounge,1.0,1.0,1.0,9.0
security,1.0,0.7777777777777778,0.875,9.0
transport,0.6666666666666666,0.2222222222222222,0.3333333333333333,9.0
accuracy,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222
macro avg,0.8501893939393939,0.8472222222222222,0.8269907305027273,72.0
weighted avg,0.8501893939393939,0.8472222222222222,0.8269907305027275,72.0
